year,road,PedalCycles,Motorcycles,CarsTaxis,bus,AllHGVs,AllMotorVehicles
2000,A1,1812,30487,3899624,29170,779630,5306390
2000,A1(M),0,568,130113,755,26845,177442
2000,A10,2542,9839,539475,6694,42106,676805
2000,A100,323,634,12258,412,644,16159
2000,A1000,649,1743,118055,1850,3339,139271
2000,A1001,53,177,16297,215,1168,19813
2000,A1003,44,187,18027,282,321,21192
2000,A1004,34,85,9414,319,130,10785
2000,A1005,34,154,18195,206,420,21030
2000,A1006,126,210,9808,303,691,13109
2000,A1008,11,24,1989,103,50,2427
2000,A1009,58,276,21609,339,454,25940
2000,A101,15,368,14064,72,97,16893
2000,A1010,537,674,38715,1602,1042,46768
2000,A1011,59,126,11359,328,584,14705
2000,A1012,54,97,8124,58,506,9822
2000,A1013,127,320,25520,539,1161,30378
2000,A1014,50,101,5340,11,1733,8004
2000,A1015,141,99,15711,317,197,17839
2000,A1016,316,422,24292,164,732,27852
2000,A1017,50,372,28607,256,2765,37700
2000,A1018,330,247,55621,2710,1643,66198
2000,A1019,18,67,4898,108,110,5653
2000,A102,179,3489,78902,981,6760,103232
2000,A1020,63,1071,57182,785,4614,73481
2000,A1021,325,103,4612,70,28,5153
2000,A1022,148,242,9160,100,189,10868
2000,A1023,80,343,24788,388,782,29003
2000,A1024,188,201,7449,139,179,9302
2000,A1025,153,120,12310,194,331,14067
2000,A1027,161,190,32851,366,950,37433
2000,A1028,2,26,4724,56,325,5808
2000,A1029,125,230,13530,143,1507,17440
2000,A103,303,504,18555,486,571,22714
2000,A1031,490,438,29206,278,842,34859
2000,A1032,190,178,23923,488,502,27803
2000,A1033,1623,2062,107210,961,6739,128426
2000,A1034,34,179,11500,107,1240,14347
2000,A1035,67,373,22415,153,1169,26351
2000,A1036,2164,1060,40333,1128,855,47849
2000,A1037,13,60,6396,31,277,7845
2000,A1038,99,39,5597,191,90,6462
2000,A1039,76,153,13140,133,554,15675
2000,A104,1255,3085,94066,2162,3510,116115
2000,A1041,213,482,18424,275,1720,23511
2000,A1042,260,532,40968,529,1792,49466
2000,A1043,7,47,3785,26,232,4572
2000,A1044,97,174,14968,98,397,16998
2000,A1045,90,110,7398,104,283,8695
2000,A1046,106,277,19960,211,2012,25908
2000,A1048,29,5,1200,41,54,1433
2000,A1049,67,26,4729,314,121,5782
2000,A105,1043,1727,72911,2004,1610,86359
2000,A1052,58,57,10000,222,465,12131
2000,A1053,24,118,8129,26,1631,11008
2000,A1054,21,80,3908,28,172,4754
2000,A1055,248,1973,63420,819,6891,86386
2000,A1056,124,142,22316,273,1319,26835
2000,A1057,221,161,19595,529,708,22866
2000,A1058,165,707,93877,705,1953,106011
2000,A1059,9,6,945,17,14,1066
2000,A106,328,784,26860,469,1503,33996
2000,A1060,208,764,64219,739,2046,76031
2000,A1061,79,144,13232,116,305,15102
2000,A1062,65,150,6591,85,94,7708
2000,A1064,27,110,26883,281,1266,32377
2000,A1065,137,991,80299,749,8082,101220
2000,A1066,410,495,39117,322,4741,51113
2000,A1067,530,942,70860,837,4370,86831
2000,A1068,395,566,56786,723,1985,66586
2000,A1069,38,130,5990,147,119,6848
2000,A107,711,695,31314,1948,1659,40224
2000,A1070,1,8,1457,28,27,1634
2000,A1071,267,700,50699,597,2201,61081
2000,A1072,108,262,25087,169,1100,29976
2000,A1073,12,334,30180,246,4306,39975
2000,A1074,349,621,26438,428,1409,32841
2000,A1075,235,851,45162,438,3191,56342
2000,A1076,19,62,5642,93,91,6428
2000,A1077,186,722,42274,531,5237,55240
2000,A1078,88,75,13078,148,983,15448
2000,A1079,1925,2131,145653,2071,14656,185752
2000,A1080,25,153,7129,263,204,8911
2000,A1081,419,1095,92758,990,3271,108216
2000,A1082,4,43,2686,40,106,3266
2000,A1083,76,203,18742,382,299,22126
2000,A1084,36,121,6795,60,424,8564
2000,A1085,507,472,44536,753,1341,52335
2000,A1086,60,132,23370,623,514,27292
2000,A1087,3,21,6794,115,301,8328
2000,A1088,36,220,18015,157,1049,23001
2000,A1089,66,192,15568,68,5188,23414
2000,A109,228,441,35681,811,1214,42239
2000,A1090,37,61,3427,70,767,4923
2000,A1092,41,261,15298,150,678,19140
2000,A1094,104,236,11966,96,394,14633
2000,A1095,96,55,5522,60,119,6372
2000,A1096,36,94,13390,155,1251,16605
2000,A1098,192,136,16086,87,222,18046
2000,A1099,151,91,5933,151,105,6854
2000,A11,1400,6686,486461,4926,57459,626152
2000,A110,213,780,69561,1669,2105,82645
2000,A1101,691,800,81939,968,9503,107141
2000,A1103,3,7,1398,16,96,1822
2000,A1104,202,178,13396,190,717,16725
2000,A1105,1187,457,24007,810,630,28282
2000,A1107,11,17,4959,109,237,6187
2000,A1108,17,18,3480,72,47,3954
2000,A111,120,428,50198,567,1250,57767
2000,A1110,6,42,2999,107,92,3670
2000,A1111,4,2,2565,13,89,3118
2000,A1112,176,800,52873,783,1773,65635
2000,A1114,94,468,35622,182,1438,42405
2000,A1117,475,372,19725,155,604,23233
2000,A112,607,952,73915,3012,2260,88945
2000,A1120,36,317,26383,174,1994,33003
2000,A1121,1,72,10361,49,1168,13789
2000,A1122,113,501,33972,412,3198,45154
2000,A1123,368,967,57236,580,3850,70345
2000,A1124,383,441,46099,638,2062,55913
2000,A1126,1,21,4116,38,445,5287
2000,A1129,118,37,2100,32,29,2512
2000,A113,258,1337,55301,395,1221,65633
2000,A1130,129,136,14020,255,414,16248
2000,A1133,88,301,23436,288,2576,30182
2000,A1134,3667,1243,52041,816,1432,61296
2000,A1136,577,251,18934,565,448,22242
2000,A1137,244,34,4267,24,118,5143
2000,A1138,11,5,114,0,70,248
2000,A1139,45,1426,111277,610,12756,141369
2000,A114,171,244,22447,338,516,26448
2000,A1140,31,51,4095,211,92,5025
2000,A1141,46,125,8620,91,306,10427
2000,A1144,141,123,3200,53,42,3710
2000,A1146,38,34,2937,47,59,3505
2000,A1147,61,24,5555,139,171,6562
2000,A1148,18,30,6659,98,72,7270
2000,A1149,12,5,813,3,16,918
2000,A115,56,113,4893,127,415,6661
2000,A1150,37,179,12510,187,1178,15666
2000,A1151,474,797,54255,598,1454,63258
2000,A1152,23,167,10700,83,467,12778
2000,A1153,28,138,5995,0,1193,7555
2000,A1155,13,193,21391,321,223,23934
2000,A1156,1008,1094,47780,1028,935,56324
2000,A1158,56,76,6952,67,85,7896
2000,A1159,149,316,24694,178,685,28350
2000,A116,75,69,7726,135,86,8734
2000,A1160,29,34,3957,48,55,4452
2000,A1165,375,302,17356,280,1394,22600
2000,A1166,194,98,6367,93,321,7935
2000,A1167,50,97,9844,324,295,12020
2000,A1168,22,142,8806,94,247,10446
2000,A1169,110,412,27275,273,1106,32660
2000,A117,138,200,16147,747,676,19766
2000,A1170,178,463,48606,461,2872,58749
2000,A1171,50,66,12365,159,213,13910
2000,A1172,18,18,3175,59,98,3668
2000,A1173,95,235,13463,166,2848,19413
2000,A1174,579,433,30390,410,2184,37472
2000,A1176,406,90,6837,67,98,7700
2000,A1179,118,99,11280,178,213,12453
2000,A118,713,985,79390,1688,2306,92436
2000,A1184,170,367,34494,357,1089,40197
